TIPUSCASDATA;COMARCACODI;COMARCADESCRIPCIO;MUNICIPICODI;MUNICIPIDESCRIPCIO;SEXECODI;SEXEDESCRIPCIO;TIPUSCASDESCRIPCIO;NUMCASOS
25/08/2020;11;BAIX LLOBREGAT;08301;VILADECANS;1;Dona;Positiu PCR;5
27/07/2020;02;ALT EMPORDA;17066;FIGUERES;0;Home;Positiu PCR;15
23/10/2020;11;BAIX LLOBREGAT;08077;ESPLUGUES DE LLOBREGAT;1;Dona;Positiu PCR;23
23/09/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;1;Dona;Positiu PCR;34
13/08/2020;40;VALLES OCCIDENTAL;08266;CERDANYOLA DEL VALLÈS;1;Dona;Positiu PCR;3
12/04/2020;40;VALLES OCCIDENTAL;08252;BARBERÀ DEL VALLÈS;1;Dona;Positiu PCR;4
09/07/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu PCR;55
31/03/2020;11;BAIX LLOBREGAT;08301;VILADECANS;0;Home;Positiu PCR;11
09/11/2020;SES;;SES;;SES;;Positiu PCR;94
16/03/2020;40;VALLES OCCIDENTAL;08125;MONTCADA I REIXAC;0;Home;Positiu PCR;2
09/10/2020;11;BAIX LLOBREGAT;08169;EL PRAT DE LLOBREGAT;0;Home;Positiu PCR;9
14/04/2020;21;MARESME;08172;PREMIÀ DE MAR;0;Home;Positiu PCR;18
28/04/2020;SES;;SES;;SES;;Positiu PCR;11
23/04/2020;17;GARRAF;08307;VILANOVA I LA GELTRÚ;1;Dona;Positiu PCR;6
27/04/2020;11;BAIX LLOBREGAT;08196;SANT ANDREU DE LA BARCA;1;Dona;Positiu PCR;2
07/04/2020;11;BAIX LLOBREGAT;08244;SANTA COLOMA DE CERVELLÓ;1;Dona;Positiu PCR;10
30/10/2020;11;BAIX LLOBREGAT;08056;CASTELLDEFELS;0;Home;Positiu PCR;16
22/09/2020;24;OSONA;08037;CALLDETENES;0;Home;Positiu PCR;1
27/08/2020;41;VALLES ORIENTAL;08086;LES FRANQUESES DEL VALLÈS;0;Home;Positiu PCR;4
14/04/2020;13;BARCELONES;08245;SANTA COLOMA DE GRAMENET;1;Dona;Positiu PCR;6
24/03/2020;20;GIRONES;17079;GIRONA;1;Dona;Positiu PCR;19
27/03/2020;17;GARRAF;08231;SANT PERE DE RIBES;1;Dona;Positiu PCR;3
14/08/2020;41;VALLES ORIENTAL;08041;CANOVELLES;0;Home;Positiu PCR;4
